Date,Value(million square km),Anomaly,Monthly Mean
197901,20.81,1.79,19.02
197902,19.32,1.37,17.95
197903,20.34,1.23,19.11
197904,22.94,1.67,21.27
197905,24.69,1.47,23.22
197906,26.72,1.96,24.76
197907,26.83,2.01,24.82
197908,25.74,1.47,24.27
197909,25.25,1.05,24.2
197910,26.57,0.85,25.72
197911,26.28,0.27,26.01
197912,22.58,-0.23,22.81
198001,19.42,0.4,19.02
198002,18.78,0.83,17.95
198003,19.33,0.22,19.11
198004,20.83,-0.44,21.27
198005,22.65,-0.57,23.22
198006,24.69,-0.07,24.76
198007,25.66,0.84,24.82
198008,25.79,1.52,24.27
198009,26.49,2.29,24.2
198010,27.75,2.03,25.72
198011,27.51,1.5,26.01
198012,23.75,0.94,22.81
198101,19.32,0.3,19.02
198102,18.47,0.52,17.95
198103,19.02,-0.09,19.11
198104,20.85,-0.42,21.27
198105,23.15,-0.07,23.22
198106,25.54,0.78,24.76
198107,26.31,1.49,24.82
198108,25.58,1.31,24.27
198109,25.74,1.54,24.2
198110,27.15,1.43,25.72
198111,27.04,1.03,26.01
198112,24.23,1.42,22.81
198201,20.44,1.42,19.02
198202,19.1,1.15,17.95
198203,20.33,1.22,19.11
198204,23.19,1.92,21.27
198205,24.73,1.51,23.22
198206,25.9,1.14,24.76
198207,26.24,1.42,24.82
198208,25.93,1.66,24.27
198209,25.65,1.45,24.2
198210,27.21,1.49,25.72
198211,27.17,1.16,26.01
198212,22.86,0.05,22.81
198301,19.71,0.69,19.02
198302,19.08,1.13,17.95
198303,20.11,1,19.11
198304,21.64,0.37,21.27
198305,23.02,-0.2,23.22
198306,24.94,0.18,24.76
198307,26.04,1.22,24.82
198308,25.44,1.17,24.27
198309,25.98,1.78,24.2
198310,27.25,1.53,25.72
198311,27.47,1.46,26.01
198312,23.69,0.88,22.81
198401,19.25,0.23,19.02
198402,17.98,0.03,17.95
198403,19.19,0.08,19.11
198404,21.43,0.16,21.27
198405,23.33,0.11,23.22
198406,25.38,0.62,24.76
198407,26.38,1.56,24.82
198408,25.7,1.43,24.27
198409,24.98,0.78,24.2
198410,26.13,0.41,25.72
198411,26.97,0.96,26.01
198412,23.46,0.65,22.81
198501,19.18,0.16,19.02
198502,18.31,0.36,17.95
198503,19.61,0.5,19.11
198504,21.85,0.58,21.27
198505,24.22,1,23.22
198506,25.65,0.89,24.76
198507,25.46,0.64,24.82
198508,25.03,0.76,24.27
198509,25.4,1.2,24.2
198510,26.75,1.03,25.72
198511,27.16,1.15,26.01
198512,24.4,1.59,22.81
198601,20.31,1.29,19.02
198602,18.97,1.02,17.95
198603,19.61,0.5,19.11
198604,21.45,0.18,21.27
198605,22.68,-0.54,23.22
198606,24.67,-0.09,24.76
198607,25.47,0.65,24.82
198608,24.98,0.71,24.27
198609,25.09,0.89,24.2
198610,26.66,0.94,25.72
198611,26.46,0.45,26.01
198612,22.87,0.06,22.81
198701,20.1,1.08,19.02
198702,19.3,1.35,17.95
198703,19.93,0.82,19.11
198704,22.01,0.74,21.27
198705,23.43,0.21,23.22
198706,25.17,0.41,24.76
198707,26.08,1.26,24.82
198708,25.23,0.96,24.27
198709,25.53,1.33,24.2
198710,26.72,1,25.72
198711,26.8,0.79,26.01
198712,-9999,-9999,22.81
198801,-9999,-9999,19.02
198802,18.47,0.52,17.95
198803,19.93,0.82,19.11
198804,21.41,0.14,21.27
198805,23.16,-0.06,23.22
198806,25.03,0.27,24.76
198807,25.56,0.74,24.82
198808,25.45,1.18,24.27
198809,25.68,1.48,24.2
198810,27.49,1.77,25.72
198811,27.48,1.47,26.01
198812,24.69,1.88,22.81
198901,19.69,0.67,19.02
198902,18.48,0.53,17.95
198903,19.35,0.24,19.11
198904,20.64,-0.63,21.27
198905,23.34,0.12,23.22
