"","XOM.Open","XOM.High","XOM.Low","XOM.Close","XOM.Volume","XOM.Adjusted","Date"
"2002-01-02",39.299999,39.599998,38.900002,39.599998,11261900,20.045628,2002-01-02
"2002-01-03",39.849998,39.98,39.41,39.66,10128200,20.075998,2002-01-03
"2002-01-04",39.700001,40.07,39.599998,40,8052100,20.248121,2002-01-04
"2002-01-07",39.75,40.09,39.490002,39.650002,9945700,20.070944,2002-01-07
"2002-01-08",39.900002,39.990002,39.5,39.700001,8278000,20.096252,2002-01-08
"2002-01-09",39.599998,39.970001,39.099998,39.240002,10036700,19.863409,2002-01-09
"2002-01-10",39.240002,39.77,39.060001,39.389999,7847500,19.939329,2002-01-10
"2002-01-11",39.389999,39.599998,38.450001,38.5,9459000,19.488802,2002-01-11
"2002-01-14",38.599998,39.200001,38.5,38.639999,10142900,19.559675,2002-01-14
"2002-01-15",38.889999,39.549999,38.880001,39.299999,9488500,19.89378,2002-01-15
"2002-01-16",39,39.009998,38.459999,38.5,8913000,19.488802,2002-01-16
"2002-01-17",38.619999,39.029999,38.599998,38.639999,7479600,19.559675,2002-01-17
"2002-01-18",38.639999,38.849998,38.279999,38.400002,10301800,19.438183,2002-01-18
"2002-01-22",38.849998,39.5,38.009998,38.02,7158800,19.245823,2002-01-22
"2002-01-23",38.5,39.169998,38.5,38.900002,9892700,19.69129,2002-01-23
"2002-01-24",38.599998,38.990002,38.509998,38.799999,10113800,19.640671,2002-01-24
"2002-01-25",38.98,39.639999,38.700001,39.16,8516200,19.822903,2002-01-25
"2002-01-28",39.450001,39.869999,38.709999,38.959999,8097600,19.721666,2002-01-28
"2002-01-29",38.5,38.900002,37.950001,37.950001,11849500,19.210398,2002-01-29
"2002-01-30",37.950001,38.73,37.799999,38.689999,11733400,19.584995,2002-01-30
"2002-01-31",38.509998,39.049999,38.299999,39.049999,11115000,19.767221,2002-01-31
"2002-02-01",39.150002,39.200001,38.799999,39,9518300,19.741915,2002-02-01
"2002-02-04",39.099998,39.200001,38.259998,38.349998,10086100,19.41288,2002-02-04
"2002-02-05",38.599998,38.900002,37.849998,38.330002,10948500,19.402744,2002-02-05
"2002-02-06",38.34,38.98,38.130001,38.919998,10385500,19.701414,2002-02-06
"2002-02-07",38.689999,38.990002,38.209999,38.299999,9027100,19.502825,2002-02-07
"2002-02-08",38.049999,38.360001,37.990002,38.290001,8731100,19.497732,2002-02-08
"2002-02-11",38.290001,38.91,37.959999,38.5,8757900,19.60466,2002-02-11
"2002-02-12",38.68,38.740002,37.599998,38.400002,7334000,19.553738,2002-02-12
"2002-02-13",38.5,38.669998,38.119999,38.639999,10065900,19.675951,2002-02-13
"2002-02-14",38.98,39.400002,38.669998,39,10044600,19.859276,2002-02-14
"2002-02-15",39.18,39.400002,38.900002,38.900002,10471300,19.808348,2002-02-15
"2002-02-19",38.900002,39.439999,38.720001,38.77,9863600,19.742149,2002-02-19
"2002-02-20",38.880001,38.990002,38.450001,38.990002,7279900,19.854183,2002-02-20
"2002-02-21",39.450001,39.740002,39.060001,39.150002,12312000,19.935654,2002-02-21
"2002-02-22",39.400002,40.959999,39.049999,40.720001,17838900,20.735123,2002-02-22
"2002-02-25",40.849998,41.150002,40.619999,41,11503400,20.877695,2002-02-25
"2002-02-26",41,41.110001,40.599998,40.720001,10048000,20.735123,2002-02-26
"2002-02-27",40.919998,41.540001,40.580002,40.919998,13939600,20.836958,2002-02-27
"2002-02-28",41.400002,41.799999,41.25,41.299999,12889700,21.030458,2002-02-28
"2002-03-01",41.75,42,41.650002,42,12683700,21.3869,2002-03-01
"2002-03-04",42.150002,42.700001,42.110001,42.650002,11899900,21.717888,2002-03-04
"2002-03-05",42.5,42.900002,42.189999,42.5,10761400,21.641516,2002-03-05
"2002-03-06",42.549999,43.48,42.380001,43.209999,14752500,22.003057,2002-03-06
"2002-03-07",43.349998,43.349998,42.599998,42.889999,11770000,21.840101,2002-03-07
"2002-03-08",43.5,43.52,42.669998,42.91,10804100,21.850288,2002-03-08
"2002-03-11",43.25,43.779999,43.18,43.490002,12173400,22.145628,2002-03-11
"2002-03-12",43.59,44,43.459999,44,12907500,22.405325,2002-03-12
"2002-03-13",43.950001,44.09,42.950001,43.119999,14394400,21.957216,2002-03-13
