Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
China,MtCO2e,2891.73,3039.14,3168.05,3397.80,3557.37,3960.70,3982.11,3977.65,4095.97,4028.58,4221.08,4430.04,4736.95,5387.28,6172.83,6934.85,7614.35,8224.19,8480.50,9055.11,9887.06,10388.48,10675.66,11168.26,11228.48,11108.86,11151.31,11385.48,11821.66,12055.41
United States,MtCO2e,5417.32,5372.07,5456.12,5567.55,5661.57,5729.69,5901.00,6160.86,6208.83,6210.12,6372.54,6335.10,6182.64,6245.34,6331.91,6352.14,6260.20,6367.28,6184.08,5757.60,6026.14,5811.96,5593.24,5734.28,5779.53,5665.20,5743.85,5689.61,5892.37,5771.00
India,MtCO2e,1002.56,1056.25,1081.28,1114.22,1158.48,1223.65,1272.74,1331.88,1362.33,1440.38,1477.87,1725.86,1744.38,1787.88,1876.85,1948.11,2045.40,2191.17,2289.14,2438.92,2546.79,2584.75,2740.40,2804.34,2984.52,3003.07,3076.48,3215.07,3360.56,3363.59
Indonesia,MtCO2e,1226.82,1246.27,1266.98,1282.35,1302.70,1339.10,1164.23,2134.80,1366.90,1258.63,1190.41,1018.47,1500.73,1168.00,1517.63,1245.04,1664.11,1107.10,1093.88,1487.25,1131.73,1683.13,1702.30,1638.39,2015.50,2067.75,1434.45,1447.22,1692.36,1959.71
Russia,MtCO2e,2648.36,2585.28,2428.18,2233.86,1995.87,1918.33,1874.95,1723.24,1725.07,1759.66,1812.87,1423.46,1422.39,1498.74,1491.42,1513.85,1553.64,1559.85,1570.09,1427.44,1521.96,1693.95,1674.58,1633.10,1621.85,1602.81,1733.91,1769.68,1868.15,1924.82
Brazil,MtCO2e,1638.68,1659.83,1669.79,1681.12,1697.94,1724.55,1729.84,1761.29,1796.63,1807.27,1809.18,1897.80,1932.79,1946.72,1993.39,2006.42,1998.22,2032.89,2036.16,2009.23,2109.66,1276.46,1319.48,1344.89,1384.99,1366.89,1455.86,1475.82,1434.51,1451.63
Japan,MtCO2e,1106.26,1121.71,1134.81,1128.24,1185.98,1201.33,1216.15,1204.17,1157.78,1184.10,1200.81,1156.68,1189.23,1197.12,1188.83,1190.09,1168.68,1204.37,1137.35,1078.70,1136.62,1243.96,1286.53,1298.56,1256.16,1220.73,1229.82,1214.59,1172.32,1134.45
Iran,MtCO2e,304.22,332.58,354.38,362.41,394.82,405.33,420.32,439.31,441.72,479.36,507.02,497.59,512.73,548.91,585.50,624.34,667.21,703.12,711.29,734.40,737.61,793.62,793.95,815.31,844.13,844.14,881.05,912.77,925.58,893.78
Canada,MtCO2e,606.91,602.81,617.15,613.16,631.24,646.48,668.42,679.96,696.18,695.27,712.83,938.32,959.31,981.22,977.90,992.10,980.87,1014.19,989.56,954.58,971.61,821.99,822.51,834.47,842.14,841.22,740.67,757.38,776.50,774.29
Saudi Arabia,MtCO2e,241.01,274.22,291.77,289.62,289.30,288.63,304.34,310.73,327.05,330.98,347.62,351.28,369.76,391.35,408.20,428.81,451.62,471.68,511.98,524.11,569.68,601.75,638.88,654.85,698.29,731.89,739.82,729.31,715.23,723.15
Germany,MtCO2e,1077.16,1049.84,1004.45,995.96,986.38,982.02,1012.11,974.96,951.88,914.04,906.43,958.16,941.97,943.14,926.57,904.60,913.40,884.97,887.83,831.35,861.83,821.26,834.47,850.84,809.96,814.64,817.47,800.21,771.48,720.23
Democratic Republic of the Congo,MtCO2e,430.77,429.39,429.54,431.04,432.52,432.58,428.89,435.55,437.45,429.55,425.81,417.58,429.83,437.10,440.11,440.48,442.84,436.22,440.32,439.95,442.37,676.09,673.04,677.01,677.77,679.91,680.03,682.01,676.86,679.57
Mexico,MtCO2e,426.29,445.04,447.97,465.29,491.88,471.42,490.07,513.22,546.58,530.80,558.02,464.85,473.91,499.56,508.41,532.56,552.90,564.88,569.44,559.85,576.98,679.06,687.03,674.64,663.46,681.94,689.71,688.06,669.63,670.84
South Korea,MtCO2e,238.32,266.53,291.96,323.65,351.89,384.86,412.98,438.91,373.64,411.56,469.57,468.70,461.26,469.04,492.96,488.31,496.62,506.54,519.43,533.37,585.40,619.12,622.55,622.99,612.48,633.40,648.88,662.63,669.70,652.66
Australia,MtCO2e,541.39,541.38,542.04,544.20,550.17,557.98,557.47,566.85,593.84,632.75,650.73,656.39,652.95,576.25,627.56,590.44,638.32,637.94,608.78,626.33,596.36,639.95,639.63,554.25,569.98,568.87,578.39,626.56,621.28,608.49
South Africa,MtCO2e,338.43,334.52,330.74,341.31,348.23,361.11,372.46,388.88,397.51,377.11,380.86,414.37,429.46,453.49,482.00,482.27,484.91,506.16,539.07,517.89,540.67,524.74,544.98,554.77,567.33,542.51,542.89,557.46,556.72,562.19
Turkey,MtCO2e,188.50,190.95,198.44,204.73,199.89,214.40,232.11,241.10,242.32,242.20,266.14,218.22,228.49,239.99,246.00,258.46,287.68,317.29,314.43,317.49,327.48,333.37,348.92,339.78,365.03,372.37,430.35,472.27,470.65,459.86
Pakistan,MtCO2e,167.90,171.26,180.84,190.59,197.22,207.99,215.08,221.75,225.55,238.55,240.86,243.29,249.66,258.99,276.72,285.37,304.82,322.30,324.73,335.35,329.41,336.67,340.73,352.33,365.57,379.96,406.11,432.92,428.62,439.49
Vietnam,MtCO2e,2.12,5.84,8.27,13.52,18.39,25.92,33.39,40.91,52.13,55.90,63.44,157.69,173.70,178.87,198.75,208.13,212.04,226.29,235.76,258.24,276.95,240.18,241.58,256.19,270.66,311.63,323.08,330.00,386.80,438.11
Thailand,MtCO2e,173.05,185.00,196.73,212.78,227.75,246.29,266.46,273.20,253.85,263.28,264.00,228.77,240.89,253.55,276.36,282.26,285.23,299.11,301.42,299.82,319.84,353.49,376.44,387.42,383.84,387.86,411.08,417.99,421.41,437.18
United Kingdom,MtCO2e,733.87,742.68,724.82,706.27,703.47,695.56,717.08,697.17,694.89,670.94,673.09,683.35,665.20,674.12,668.94,663.04,659.56,644.25,623.87,567.88,580.39,539.08,559.23,541.85,502.35,487.00,465.58,450.65,442.48,429.13
Argentina,MtCO2e,292.65,297.07,301.59,302.16,305.55,308.14,319.30,324.70,330.05,337.78,337.38,379.26,375.63,397.87,414.15,418.09,432.56,445.10,449.64,429.32,434.83,416.09,421.20,431.00,428.81,435.81,403.23,407.58,404.95,398.91
Malaysia,MtCO2e,197.12,208.08,210.77,217.44,225.19,232.31,241.31,252.65,282.08,260.08,271.82,262.89,278.81,288.92,314.12,328.00,324.08,349.26,361.34,357.81,370.38,146.34,148.39,169.28,202.09,187.53,377.38,360.65,384.04,396.11
