"Figure 1. Area of the Contiguous 48 States with Unusually Hot Summer Temperatures, 1910-2020",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2021",,,,
Web update: April 2021,,,,
Units: Percent of land area,,,,
,,,,
Year,Hot daily highs,Hot daily highs (smoothed),Hot daily lows,Hot daily lows (smoothed)
1910,0.074,0.071972656,0.02,0.021003906
1911,0.087,0.072894531,0.031,0.023023438
1912,0.004,0.080355469,0,0.029832031
1913,0.155,0.087617188,0.033,0.039355469
1914,0.139,0.081410156,0.117,0.042320313
1915,0.013,0.065070313,0.004,0.035054688
1916,0.005,0.060226563,0.005,0.027449219
1917,0.066,0.076269531,0.013,0.029707031
1918,0.153,0.095878906,0.06,0.040785156
1919,0.153,0.099910156,0.063,0.056003906
1920,0,0.089550781,0.001,0.071945313
1921,0.142,0.0758125,0.202,0.079675781
1922,0.052,0.065832031,0.052,0.070625
1923,0.006,0.06496875,0.031,0.051199219
1924,0.084,0.072390625,0.015,0.035710938
1925,0.142,0.074578125,0.044,0.028089844
1926,0.06,0.061433594,0.028,0.023027344
1927,0.011,0.0454375,0.002,0.0188125
1928,0.004,0.051835938,0.019,0.020203125
1929,0.022,0.089527344,0.009,0.032082031
1930,0.219,0.139378906,0.035,0.053910156
1931,0.256,0.179429688,0.129,0.081722656
1932,0.062,0.209890625,0.063,0.113753906
1933,0.297,0.236882813,0.119,0.14721875
1934,0.411,0.253515625,0.331,0.173671875
1935,0.015,0.251667969,0.017,0.184363281
1936,0.484,0.227589844,0.348,0.172542969
1937,0.13,0.181828125,0.133,0.135847656
1938,0.063,0.131882813,0.035,0.088617188
1939,0.045,0.099523438,0.014,0.056675781
1940,0.193,0.084527344,0.036,0.051488281
1941,0.007,0.078222656,0.096,0.063339844
1942,0.009,0.081078125,0.017,0.074964844
1943,0.197,0.085699219,0.204,0.071707031
1944,0.101,0.074925781,0.001,0.050796875
1945,0.005,0.049363281,0.002,0.025894531
1946,0.007,0.02978125,0.002,0.013878906
1947,0.008,0.029585938,0.007,0.019347656
1948,0.038,0.043105469,0.006,0.033757813
1949,0.116,0.062316406,0.133,0.045199219
1950,0.001,0.092578125,0,0.051402344
1951,0.093,0.139941406,0.023,0.061105469
1952,0.322,0.188902344,0.125,0.078546875
1953,0.184,0.2108125,0.067,0.094417969
1954,0.303,0.192542969,0.161,0.095554688
1955,0.091,0.146445313,0.09,0.079457031
1956,0.101,0.098113281,0.02,0.058621094
1957,0.004,0.069664063,0.008,0.047734375
1958,0.06,0.068867188,0.092,0.048785156
1959,0.083,0.087121094,0.046,0.055542969
1960,0.105,0.103855469,0.006,0.063351563
1961,0.218,0.098921875,0.177,0.066570313
1962,0.015,0.070554688,0,0.059121094
1963,0.018,0.037386719,0.081,0.042542969
1964,0.004,0.017957031,0.002,0.025242188
1965,0,0.015136719,0,0.014507813
1966,0.02,0.02028125,0.003,0.011597656
1967,0.06,0.024746094,0.035,0.012328125
1968,0,0.027074219,0,0.012648438
1969,0.009,0.029382813,0.009,0.012355469
1970,0.089,0.0293125,0.023,0.013050781
1971,0.001,0.0234375,0.005,0.015957031
1972,0.003,0.015101563,0.004,0.020207031
1973,0.016,0.010828125,0.069,0.021929688
1974,0.002,0.013421875,0,0.020125
1975,0.002,0.020824219,0.004,0.020863281
1976,0.068,0.028167969,0.001,0.027917969
1977,0.023,0.036042969,0.107,0.036726563
1978,0.019,0.055023438,0.005,0.045421875
1979,0.002,0.08715625,0,0.058015625
1980,0.316,0.111226563,0.165,0.071679688
1981,0.073,0.108824219,0.075,0.078597656
1982,0.002,0.089664063,0.006,0.077785156
1983,0.162,0.070847656,0.176,0.070214844
1984,0.018,0.05646875,0.027,0.056339844
1985,0.03,0.052421875,0.004,0.046863281
1986,0.027,0.070628906,0.024,0.0548125
1987,0.047,0.103101563,0.083,0.073585938
1988,0.356,0.117410156,0.184,0.083222656
1989,0.011,0.095988281,0.014,0.078425781
1990,0.021,0.060441406,0.046,0.071929688
1991,0.034,0.043558594,0.116,0.073335938
1992,0.015,0.056472656,0.046,0.083089844
1993,0.057,0.086335938,0.081,0.099976563
1994,0.236,0.109371094,0.138,0.117453125
1995,0.068,0.110886719,0.183,0.124636719
1996,0.127,0.099097656,0.107,0.122628906
1997,0.005,0.092160156,0.01,0.122398438
1998,0.17,0.097316406,0.286,0.124242188
1999,0.049,0.112582031,0.057,0.12459375
2000,0.16,0.138121094,0.073,0.13575
2001,0.11,0.169617188,0.137,0.166992188
2002,0.293,0.187714844,0.296,0.200003906
2003,0.263,0.178695313,0.279,0.215722656
2004,0.02,0.163238281,0.063,0.226195313
2005,0.093,0.171339844,0.286,0.245925781
2006,0.311,0.190953125,0.347,0.255652344
2007,0.307,0.184550781,0.33,0.237824219
2008,0.045,0.155886719,0.043,0.227566406
2009,0.043,0.154386719,0.076,0.273132813
2010,0.153,0.204734375,0.557,0.354851563
2011,0.364,0.264707031,0.568,0.401328125
2012,0.489,0.272101563,0.304,0.383570313
2013,0.144,0.222042969,0.364,0.344210938
2014,0.039,0.172351563,0.173,0.336945313
2015,0.118,0.170011719,0.386,0.371011719
2016,0.271,0.201554688,0.543,0.414890625
2017,0.264,0.226714844,0.338,0.436367188
2018,0.263,0.234953125,0.627,0.433582031
2019,0.099,0.248464844,0.191,0.431554688
2020,0.347,0.280671875,0.514,0.450316406
