Date,Value,Anomaly
196001,2.26,0
196002,2.59,0.48
196003,2.12,-0.42
196004,2.15,-0.42
196005,2.87,-0.16
196006,2.69,-0.29
196007,2.68,-0.13
196008,2.83,0.14
196009,2.21,-0.37
196010,2.4,0.04
196011,2.05,-0.29
196012,1.9,-0.57
196101,1.48,-0.78
196102,2.78,0.67
196103,3.16,0.62
196104,2.3,-0.27
196105,2.88,-0.15
196106,2.92,-0.06
196107,3.11,0.3
196108,2.62,-0.07
196109,2.94,0.36
196110,1.78,-0.58
196111,2.59,0.25
196112,2.69,0.22
196201,2.21,-0.05
196202,2.55,0.44
196203,2.15,-0.39
196204,2.1,-0.47
196205,2.69,-0.34
196206,3.21,0.23
196207,2.91,0.1
196208,2.04,-0.65
196209,2.78,0.2
196210,2.33,-0.03
196211,2.05,-0.29
196212,1.58,-0.89
196301,1.57,-0.69
196302,1.73,-0.38
196303,2.47,-0.07
196304,2.3,-0.27
196305,2.36,-0.67
196306,2.94,-0.04
196307,2.69,-0.12
196308,2.33,-0.36
196309,2.21,-0.37
196310,0.96,-1.4
196311,2.66,0.32
196312,1.48,-0.99
196401,2.43,0.17
196402,1.56,-0.55
196403,2.83,0.29
196404,3.29,0.72
196405,2.25,-0.78
196406,2.81,-0.17
196407,2.61,-0.2
196408,2.87,0.18
196409,2.54,-0.04
196410,1.36,-1
196411,2.38,0.04
196412,3.33,0.86
196501,2.34,0.08
196502,2.16,0.05
196503,2.16,-0.38
196504,2.52,-0.05
196505,2.71,-0.32
196506,3.24,0.26
196507,2.73,-0.08
196508,2.8,0.11
196509,3.53,0.95
196510,1.45,-0.91
196511,2,-0.34
196512,2.16,-0.31
196601,2.36,0.1
196602,2.34,0.23
196603,1.61,-0.93
196604,2.49,-0.08
196605,2.24,-0.79
196606,2.24,-0.74
196607,2.41,-0.4
196608,3.11,0.42
196609,2.44,-0.14
196610,1.67,-0.69
196611,2.01,-0.33
196612,2.54,0.07
196701,2.15,-0.11
196702,1.42,-0.69
196703,1.92,-0.62
196704,2.67,0.1
196705,2.96,-0.07
196706,3.58,0.6
196707,2.89,0.08
196708,2.51,-0.18
196709,2.49,-0.09
196710,2.34,-0.02
196711,1.61,-0.73
196712,3.06,0.59
196801,2.17,-0.09
196802,1.48,-0.63
196803,2.16,-0.38
196804,2.46,-0.11
196805,3.33,0.3
196806,3.12,0.14
196807,2.77,-0.04
196808,2.88,0.19
196809,2.31,-0.27
196810,2.07,-0.29
196811,2.82,0.48
196812,2.82,0.35
196901,3.01,0.75
196902,2.23,0.12
196903,1.89,-0.65
196904,2.6,0.03
196905,2.66,-0.37
196906,3.31,0.33
196907,3.09,0.28
196908,2.31,-0.38
196909,2.3,-0.28
196910,2.7,0.34
196911,1.59,-0.75
196912,2.94,0.47
197001,2.09,-0.17
197002,1.63,-0.48
197003,2.68,0.14
197004,2.78,0.21
197005,2.61,-0.42
197006,2.77,-0.21
197007,2.41,-0.4
197008,2.37,-0.32
197009,3.06,0.48
197010,2.88,0.52
197011,2.2,-0.14
197012,2.22,-0.25
197101,2.03,-0.23
197102,2.37,0.26
197103,2.08,-0.46
197104,1.86,-0.71
197105,2.92,-0.11
197106,2.53,-0.45
197107,3,0.19
197108,2.75,0.06
197109,2.83,0.25
197110,2.73,0.37
197111,2.03,-0.31
197112,3.2,0.73
197201,2.33,0.07
197202,1.8,-0.31
197203,2.13,-0.41
197204,2.26,-0.31
197205,2.95,-0.08
197206,3.1,0.12
197207,2.93,0.12
197208,2.64,-0.05
197209,2.74,0.16
197210,2.75,0.39
197211,3.05,0.71
197212,3.02,0.55
197301,2.48,0.22
197302,1.96,-0.15
197303,4,1.46
197304,3.33,0.76
197305,3.03,0
197306,3.05,0.07
197307,2.96,0.15
197308,2.06,-0.63
197309,3.46,0.88
197310,2.37,0.01
197311,3.17,0.83
197312,3.09,0.62
197401,3.15,0.89
197402,1.68,-0.43
197403,2.63,0.09
197404,2.55,-0.02
197405,3.07,0.04
197406,2.64,-0.34
197407,2.14,-0.67
197408,3.43,0.74
197409,2.72,0.14
197410,2.01,-0.35
197411,2.18,-0.16
197412,2.42,-0.05
197501,2.61,0.35
197502,2.61,0.5
197503,3.4,0.86
197504,2.67,0.1
197505,3.28,0.25
197506,3.31,0.33
197507,2.97,0.16
197508,2.83,0.14
197509,2.66,0.08
197510,2.3,-0.06
197511,2.28,-0.06
197512,2.11,-0.36
197601,1.76,-0.5
197602,1.89,-0.22
197603,2.57,0.03
197604,2.29,-0.28
197605,2.93,-0.1
197606,2.77,-0.21
197607,2.74,-0.07
197608,2,-0.69
197609,2.45,-0.13
197610,2.44,0.08
197611,1.11,-1.23
197612,1.36,-1.11
197701,1.58,-0.68
197702,1.23,-0.88
197703,3.1,0.56
197704,2.27,-0.3
197705,2.67,-0.36
197706,2.49,-0.49
197707,2.56,-0.25
197708,3.55,0.86
197709,3.22,0.64
197710,2.19,-0.17
197711,2.86,0.52
197712,2.72,0.25
197801,3.18,0.92
197802,1.77,-0.34
197803,2.26,-0.28
197804,2.54,-0.03
197805,3.64,0.61
197806,2.55,-0.43
197807,2.75,-0.06
197808,2.77,0.08
197809,2.44,-0.14
197810,1.11,-1.25
197811,2.6,0.26
197812,2.53,0.06
197901,3.31,1.05
197902,2.6,0.49
197903,2.8,0.26
197904,3.07,0.5
197905,3.23,0.2
197906,2.54,-0.44
197907,3.3,0.49
197908,2.99,0.3
197909,2.51,-0.07
197910,2.2,-0.16
197911,2.34,0
197912,1.86,-0.61
198001,2.65,0.39
198002,1.92,-0.19
198003,3.39,0.85
198004,2.38,-0.19
198005,3.09,0.06
198006,2.31,-0.67
198007,1.97,-0.84
198008,2.57,-0.12
198009,2.79,0.21
198010,1.87,-0.49
198011,1.76,-0.58
198012,1.57,-0.9
198101,0.98,-1.28
198102,2.17,0.06
198103,2.21,-0.33
198104,2.19,-0.38
198105,3.55,0.52
198106,3.41,0.43
198107,3.09,0.28
198108,2.76,0.07
198109,2.08,-0.5
198110,3.1,0.74
198111,2.01,-0.33
198112,2.41,-0.06
198201,2.84,0.58
198202,2.23,0.12
198203,2.51,-0.03
198204,2.52,-0.05
198205,3.42,0.39
198206,3.31,0.33
198207,2.95,0.14
198208,2.55,-0.14
198209,2.45,-0.13
198210,2.33,-0.03
198211,2.99,0.65
198212,3.76,1.29
198301,2.08,-0.18
198302,2.68,0.57
198303,3.7,1.16
198304,3.2,0.63
198305,3.47,0.44
198306,2.95,-0.03
198307,2.08,-0.73
198308,2.37,-0.32
198309,2.26,-0.32
198310,2.61,0.25
198311,3.92,1.58
198312,3.44,0.97
198401,1.35,-0.91
198402,2.11,0
198403,2.75,0.21
198404,2.95,0.38
198405,3.15,0.12
