#title = mean sea level anomaly Pacific Ocean (Annual signals removed) 
#institution = NOAA/Laboratory for Satellite Altimetry 
#references = NOAA Sea Level Rise (http://www.star.nesdis.noaa.gov/sod/lsa/SeaLevelRise/) and Radar Altimeter Database System (http://www.deos.tudelft.nl/altim/rads/) 
#comment = Data use policy: In publications, presentations, or on web pages based on LSA data the following acknowledgment should be included: 'Altimetry data are provided by NOAA Laboratory for Satellite Altimetry.' 
#trend = 2.85 mm/year (no glacial isostatic adjustment correction) 
year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96140,-13.01000,,,
1992.98640,-24.28000,,,
1993.01220,-20.58000,,,
1993.04050,-28.93000,,,
1993.06590,-29.39000,,,
1993.09740,-31.17000,,,
1993.12050,-25.39000,,,
1993.14910,-19.12000,,,
1993.17650,-12.55000,,,
1993.20360,-15.92000,,,
1993.23070,-11.39000,,,
1993.28500,-17.01000,,,
1993.31220,-8.83000,,,
1993.33940,-15.44000,,,
1993.36650,-13.74000,,,
1993.39360,-17.90000,,,
1993.42070,-18.08000,,,
1993.44800,-16.55000,,,
1993.47510,-3.40000,,,
1993.50210,-7.45000,,,
1993.52940,-9.85000,,,
1993.58360,-16.28000,,,
1993.61160,-8.75000,,,
1993.63800,-10.57000,,,
1993.66510,-10.25000,,,
1993.69220,-14.08000,,,
1993.71880,-21.86000,,,
1993.74650,-19.49000,,,
1993.77380,-15.74000,,,
1993.80090,-14.38000,,,
1993.85520,-19.64000,,,
1993.88240,-20.07000,,,
1993.90960,-10.70000,,,
1993.93660,-9.05000,,,
1993.96370,-1.50000,,,
1993.99050,-3.63000,,,
1994.01800,-12.04000,,,
1994.04520,-11.36000,,,
1994.07230,-11.16000,,,
1994.09950,-15.38000,,,
1994.12660,-15.83000,,,
1994.15380,-12.66000,,,
1994.18090,-6.38000,,,
1994.23520,-12.09000,,,
1994.26240,-7.73000,,,
1994.28950,-4.79000,,,
1994.31660,0.51000,,,
1994.34380,-13.42000,,,
1994.37100,-19.24000,,,
1994.39810,-24.83000,,,
1994.42520,-14.56000,,,
1994.45240,-4.46000,,,
1994.50670,-15.47000,,,
1994.53380,-1.40000,,,
1994.56100,-4.00000,,,
1994.58810,-15.55000,,,
1994.61530,-10.16000,,,
1994.64250,-1.29000,,,
1994.66960,-10.92000,,,
1994.69660,-13.77000,,,
1994.72390,-13.89000,,,
1994.75100,-20.03000,,,
1994.77810,-14.72000,,,
1994.80530,-4.49000,,,
1994.83250,-5.54000,,,
1994.88680,-20.30000,,,
1994.91390,-18.74000,,,
1994.94110,-0.71000,,,
1994.96830,3.40000,,,
1994.99540,-4.97000,,,
1995.02250,-16.64000,,,
1995.04960,-10.71000,,,
1995.07680,5.35000,,,
1995.10400,2.21000,,,
1995.13110,-4.97000,,,
1995.15830,-15.50000,,,
1995.21260,1.15000,,,
1995.23970,-11.49000,,,
1995.26680,-10.21000,,,
1995.29400,-8.26000,,,
1995.32120,-11.16000,,,
1995.37550,-20.74000,,,
1995.40270,-11.97000,,,
1995.42970,-10.44000,,,
1995.45690,-9.79000,,,
1995.48400,-9.75000,,,
1995.53830,-17.66000,,,
1995.56550,-13.07000,,,
1995.59260,-8.73000,,,
1995.61980,-10.01000,,,
1995.64700,-12.50000,,,
1995.67390,-15.67000,,,
1995.70120,-8.96000,,,
1995.72840,-8.19000,,,
1995.75550,-11.96000,,,
1995.78270,-8.47000,,,
1995.83700,-15.89000,,,
1995.86420,-13.59000,,,
1995.88980,-5.21000,,,
1995.94550,-10.28000,,,
1995.97270,-11.91000,,,
1995.99980,-17.43000,,,
1996.02690,-20.85000,,,
1996.05330,-9.68000,,,
1996.08130,-3.45000,,,
1996.10840,-0.02000,,,
1996.16300,-9.04000,,,
1996.18990,-14.34000,,,
1996.21710,-5.36000,,,
1996.24420,0.82000,,,
1996.27130,-5.09000,,,
1996.29840,-6.73000,,,
1996.32560,-8.53000,,,
1996.35280,-11.08000,,,
1996.37990,-9.05000,,,
1996.40700,-9.91000,,,
1996.43420,-0.12000,,,
1996.48860,-5.84000,,,
1996.51570,-12.32000,,,
1996.54280,-4.12000,,,
1996.56990,4.76000,,,
1996.59720,2.80000,,,
1996.62430,-9.16000,,,
1996.65140,-8.49000,,,
1996.67860,-3.31000,,,
1996.70530,-1.12000,,,
1996.73360,1.51000,,,
1996.76000,-2.48000,,,
1996.81430,3.12000,,,
1996.84140,9.45000,,,
1996.86860,4.68000,,,
1996.89580,-7.34000,,,
1996.92290,-7.82000,,,
1996.95010,-9.15000,,,
1996.97680,-10.64000,,,
1997.00440,-6.59000,,,
1997.03150,-11.47000,,,
1997.05860,-17.43000,,,
1997.08580,-7.05000,,,
1997.14010,-0.14000,,,
1997.16720,-0.07000,,,
1997.19430,-2.77000,,,
1997.22150,-1.87000,,,
1997.24870,3.53000,,,
1997.27580,-0.47000,,,
1997.30300,-7.59000,,,
1997.33010,-3.50000,,,
1997.35720,-5.36000,,,
1997.38440,-2.96000,,,
1997.41150,7.74000,,,
1997.46590,-6.98000,,,
1997.49290,-3.33000,,,
1997.52020,4.94000,,,
1997.54730,14.12000,,,
1997.57440,10.08000,,,
1997.62880,7.80000,,,
1997.65600,-2.19000,,,
1997.68290,-0.54000,,,
1997.71020,8.21000,,,
1997.73740,7.43000,,,
1997.79160,-2.06000,,,
1997.81880,0.94000,,,
1997.84590,6.61000,,,
1997.87300,-0.65000,,,
1997.90010,1.52000,,,
1997.92730,3.23000,,,
1997.95450,-3.23000,,,
1997.98160,5.35000,,,
1998.00820,5.91000,,,
1998.03600,5.21000,,,
1998.09030,1.85000,,,
1998.11740,-1.97000,,,
1998.14450,-2.18000,,,
1998.17170,-7.11000,,,
1998.19880,-9.39000,,,
1998.22600,-5.68000,,,
1998.25300,-11.76000,,,
1998.27910,-12.85000,,,
1998.30750,-5.96000,,,
1998.33460,-3.87000,,,
1998.36170,-15.15000,,,
1998.41560,-7.31000,,,
1998.44310,-2.42000,,,
1998.47030,-9.13000,,,
1998.49750,-8.83000,,,
1998.52460,-14.79000,,,
1998.55170,-21.84000,,,
1998.60620,-9.34000,,,
1998.63320,-16.62000,,,
1998.66030,-16.37000,,,
1998.68750,-16.56000,,,
1998.71470,-24.63000,,,
1998.74180,-14.84000,,,
1998.76890,-15.18000,,,
1998.82330,-15.33000,,,
1998.85040,-12.42000,,,
1998.87740,-10.18000,,,
1998.90460,-16.70000,,,
1998.93190,-5.81000,,,
1998.95900,-17.32000,,,
1998.98610,-12.09000,,,
1999.01330,-15.05000,,,
1999.04050,-9.73000,,,
1999.09480,-14.86000,,,
1999.12550,2.27000,,,
1999.14900,-4.82000,,,
1999.17620,-8.75000,,,
1999.20330,-16.51000,,,
1999.23050,8.11000,,,
1999.25760,3.85000,,,
1999.28470,-4.42000,,,
1999.33900,-10.95000,,,
