"Figure 2. Temperatures Worldwide, 1901-2021",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2022",,,
Web update: July 2022,,,
Units: °F,,,
,,,
Year,Earth's surface (land and ocean),Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.27,null,null
1902,-0.468,null,null
1903,-0.666,null,null
1904,-0.828,null,null
1905,-0.504,null,null
1906,-0.378,null,null
1907,-0.684,null,null
1908,-0.774,null,null
1909,-0.792,null,null
1910,-0.72,null,null
1911,-0.792,null,null
1912,-0.612,null,null
1913,-0.576,null,null
1914,-0.252,null,null
1915,-0.18,null,null
1916,-0.576,null,null
1917,-0.702,null,null
1918,-0.558,null,null
1919,-0.45,null,null
1920,-0.414,null,null
1921,-0.288,null,null
1922,-0.45,null,null
1923,-0.45,null,null
1924,-0.432,null,null
1925,-0.324,null,null
1926,-0.126,null,null
1927,-0.306,null,null
1928,-0.324,null,null
1929,-0.594,null,null
1930,-0.198,null,null
1931,-0.108,null,null
1932,-0.234,null,null
1933,-0.468,null,null
1934,-0.198,null,null
1935,-0.288,null,null
1936,-0.216,null,null
1937,-0.018,null,null
1938,-0.036,null,null
1939,0.018,null,null
1940,0.288,null,null
1941,0.486,null,null
1942,0.198,null,null
1943,0.198,null,null
1944,0.504,null,null
1945,0.324,null,null
1946,-0.018,null,null
1947,-0.072,null,null
1948,-0.09,null,null
1949,-0.144,null,null
1950,-0.27,null,null
1951,0,null,null
1952,0.072,null,null
1953,0.234,null,null
1954,-0.18,null,null
1955,-0.234,null,null
1956,-0.324,null,null
1957,0.126,null,null
1958,0.216,null,null
1959,0.144,null,null
1960,0.09,null,null
1961,0.18,null,null
1962,0.198,null,null
1963,0.216,null,null
1964,-0.252,null,null
1965,-0.126,null,null
1966,-0.018,null,null
1967,0,null,null
1968,-0.054,null,null
1969,0.198,null,null
1970,0.108,null,null
1971,-0.126,null,null
1972,0.072,null,null
1973,0.342,null,null
1974,-0.108,null,null
1975,0.018,null,null
1976,-0.126,null,null
1977,0.378,null,null
1978,0.216,null,null
1979,0.414,0.467581395,0.292077907
1980,0.504,0.764581395,0.556077907
1981,0.594,0.640081395,0.531327907
1982,0.342,0.308581395,0.184227907
1983,0.648,0.764581395,0.581577907
1984,0.306,0.412081395,0.127827907
1985,0.288,0.190081395,0.034227907
1986,0.432,0.449581395,0.235827907
1987,0.702,0.929581395,0.747477907
1988,0.702,0.910081395,0.691977907
1989,0.54,0.466081395,0.342027907
1990,0.81,0.865081395,0.645177907
1991,0.702,0.877081395,0.725577907
1992,0.432,0.335581395,0.255627907
1993,0.504,0.473581395,0.364227907
1994,0.63,0.724081395,0.599727907
1995,0.846,0.967081395,0.842877907
1996,0.576,0.824581395,0.669627907
1997,0.936,0.826081395,0.729627907
1998,1.17,1.712581395,1.535877907
1999,0.792,0.809581395,0.731727907
2000,0.756,0.803581395,0.720927907
2001,1.026,1.046581395,1.009677907
2002,1.116,1.231081395,1.206177907
2003,1.152,1.177081395,1.233777907
2004,1.044,0.989581395,1.112877907
2005,1.206,1.201081395,1.344627907
2006,1.134,1.043581395,1.192077907
2007,1.116,1.129081395,1.254927907
2008,0.972,0.658081395,0.895677907
2009,1.152,1.010581395,1.182177907
2010,1.296,1.433581395,1.607277907
2011,1.026,0.872581395,1.042527907
2012,1.152,0.934081395,1.149627907
2013,1.206,1.084081395,1.276377907
2014,1.332,1.165081395,1.372377907
2015,1.674,1.330081395,1.596327907
2016,1.782,1.786081395,1.936977907
2017,1.638,1.562581395,1.715727907
2018,1.476,1.244581395,1.471527907
2019,1.71,1.633081395,1.827777907
2020,1.764,1.729081395,1.938777907
2021,1.512,1.328581395,1.599027907
